orig_order,sequence_id,lon,lat,height_m,morphology,vent_field,chimney_name,dist_from_axis_m,utm9n_easting,utm9n_northing,seafloor_depth_m,col_wgs84,row_wgs84,col_utm1m,row_utm1m
292,139,-129.098633387,47.944474199,8,chimney,,,35.4711,492634.502,5310133.5,-2204.706,59,400,60,597
291,140,-129.098637387,47.944475199,9,chimney,,,35.1537,492634.203,5310133.611,-2204.706,59,400,60,597
290,141,-129.099055394,47.944552227,9,chimney,,,2.7863,492602.999,5310142.212,-2195.653,28,395,28,588
289,142,-129.099375311,47.944615209,5,chimney,,,22.1028,492579.118,5310149.243,-2197.603,4,390,5,581
288,143,-129.099098253,47.944632543,6,chimney,,,2.6351,492599.81,5310151.143,-2194.516,25,389,25,579
287,144,-129.099016279,47.94483422,6,chimney,,,4.0999,492605.96,5310173.551,-2190.201,31,373,31,557
286,145,-129.098294501,47.94488749,15,chimney,,,44.6075,492659.866,5310179.402,-2208.181,85,369,85,551
285,146,-129.098879346,47.944945521,6,chimney,,,1.3311,492616.202,5310185.908,-2191.313,41,365,42,545
284,147,-129.098480304,47.944974181,15,chimney,,,28.2891,492646.004,5310189.055,-2197.179,71,363,72,541
283,148,-129.098412064,47.944990548,14,chimney,,,32.4676,492651.102,5310190.868,-2196.213,76,362,77,540
282,149,-129.098590264,47.944993219,17,chimney,,,19.8465,492637.795,5310191.182,-2192.299,63,362,63,539
281,150,-129.098385179,47.945288662,11,chimney,,,23.1335,492653.152,5310223.999,-2199.147,78,340,79,507
280,151,-129.098617103,47.945302955,12,mound,,,6.3004,492635.835,5310225.61,-2186.284,61,338,61,505
279,152,-129.098535136,47.945434659,9,chimney,,,7.1012,492641.975,5310240.24,-2201.344,67,329,67,490
278,153,-129.098772195,47.945472271,8,chimney,,,10.9705,492624.278,5310244.443,-2198.096,49,326,50,486
277,154,-129.09851009,47.945703332,9,mound,,,1.2537,492643.883,5310270.099,-2193.488,69,309,69,460
276,155,-129.09880509,47.945724332,5,chimney,,,22.7709,492621.857,5310272.462,-2198.135,47,307,47,458
275,156,-129.098657111,47.94574259,6,chimney,,,13.0613,492632.91,5310274.477,-2198.68,58,306,58,456
274,157,-129.09855809,47.946051332,3,chimney,MEF,,17.7271,492640.348,5310308.782,-2197.498,65,283,66,422
273,158,-129.09883209,47.946078332,6,chimney,MEF,,37.9946,492619.892,5310311.81,-2198.647,45,281,45,419
267,169,-129.098179375,47.946793878,7,chimney,MEF,,19.0735,492668.733,5310391.277,-2197.604,93,227,94,339
266,172,-129.098460212,47.947048828,8,chimney,MEF,,48.4026,492647.799,5310419.64,-2193.961,72,208,73,311
265,173,-129.098188951,47.947060071,12,chimney,MEF,,29.7676,492668.056,5310420.863,-2198.09,93,207,94,310
264,176,-129.098243774,47.947120355,10,chimney,MEF,,35.8889,492663.97,5310427.569,-2195.946,89,203,89,303
262,177,-129.098406466,47.947160552,8,chimney,MEF,,48.8326,492651.828,5310432.052,-2193.432,76,200,77,298
261,180,-129.097735466,47.947183552,4,chimney,MEF,,2.5556,492701.936,5310434.545,-2205.532,126,198,127,296
260,182,-129.098280466,47.947272552,6,chimney,MEF,,44.1966,492661.252,5310444.488,-2198.867,86,191,87,286
259,183,-129.098688466,47.947323552,7,chimney,MEF,,74.7816,492630.793,5310450.196,-2186.173,55,188,56,280
258,184,-129.097927466,47.947324552,20,mound,MEF,,21.3533,492687.619,5310450.234,-2195.942,112,187,113,280
257,185,-129.097888466,47.947346552,14,chimney,MEF,,19.4415,492690.534,5310452.676,-2197.538,115,186,116,278
256,186,-129.098808466,47.947349552,10,chimney,MEF,Milli-Q,84.1914,492621.837,5310453.097,-2180.132,46,186,47,277
255,189,-129.098242534,47.947540235,7,chimney,MEF,,51.6089,492664.123,5310474.236,-2197.178,89,171,90,256
254,190,-129.098363302,47.947555727,9,chimney,MEF,,60.6771,492655.107,5310475.97,-2195.444,80,170,81,255
253,193,-129.099086407,47.947620195,6,mound,MEF,Sully,113.9074,492601.121,5310483.204,-2186.035,26,165,27,247
252,195,-129.098943341,47.947720965,11,mound,MEF,Tara,107.6495,492611.818,5310494.39,-2186.31,36,158,37,236
251,196,-129.098993466,47.947778552,9,chimney,MEF,,113.3391,492608.084,5310500.796,-2187.031,33,154,34,230
250,198,-129.097605003,47.947793611,13,mound,MEF,,16.357,492711.763,5310502.337,-2198.6,136,152,137,228
249,199,-129.097710652,47.94780182,6,chimney,MEF,,24.0886,492703.876,5310503.26,-2202.175,128,152,129,227
246,202,-129.097536971,47.947857939,15,mound,MEF,,13.9991,492716.852,5310509.48,-2197.801,141,148,142,221
248,203,-129.098945301,47.947858105,9,mound,MEF,Needle,112.95,492611.691,5310509.633,-2186.036,36,148,37,221
245,204,-129.099014386,47.947861112,17,mound,MEF,Bastille,117.9169,492606.533,5310509.974,-2185.285,31,147,32,221
244,205,-129.099293396,47.947891448,10,mound,MEF,Peanut,138.6613,492585.704,5310513.372,-2187.055,10,145,11,217
243,206,-129.098513466,47.947993552,22,chimney,MEF,S&M,87.7097,492643.956,5310524.646,-2187.664,68,137,69,206
242,207,-129.09780918,47.948015075,8,chimney,MEF,,39.0394,492696.548,5310526.971,-2201.57,121,136,122,204
241,208,-129.097536176,47.948017939,6,chimney,MEF,,19.9669,492716.934,5310527.264,-2202.691,141,136,142,203
240,209,-129.09736,47.94807401,8,chimney,MEF,,9.7004,492730.097,5310533.479,-2206.877,155,131,156,197
