orig_order,sequence_id,lon,lat,height_m,morphology,vent_field,chimney_name,dist_from_axis_m,utm9n_easting,utm9n_northing,seafloor_depth_m,col_wgs84,row_wgs84,col_utm1m,row_utm1m
129,323,-129.088698196,47.965025347,18,chimney,,,56.8311,493379.043,5312416.755,-2159.291,59,391,60,583
127,325,-129.08873695,47.965215776,5,chimney,,,50.2394,493376.174,5312437.924,-2159.999,57,377,57,562
126,326,-129.088703674,47.965304272,7,chimney,,,50.9438,493378.67,5312447.757,-2157.949,59,371,59,552
125,327,-129.087959307,47.965326347,5,chimney,,,105.1968,493434.236,5312450.147,-2172.038,115,369,115,549
124,328,-129.088080246,47.965410284,19,chimney,,,94.6611,493425.219,5312459.486,-2158.717,106,363,106,540
123,329,-129.088522352,47.965427739,9,chimney,,,61.8373,493392.22,5312461.464,-2157.065,73,361,73,538
122,330,-129.088385246,47.96549927,12,chimney,,,70.5035,493402.464,5312469.403,-2153.071,83,356,83,530
121,331,-129.08785283,47.965517353,7,chimney,,,109.2633,493442.208,5312471.367,-2166.29,123,355,123,528
120,332,-129.08822779,47.965573097,19,chimney,High Rise,Fairy Castle,80.6197,493414.226,5312477.595,-2150.976,95,350,95,522
119,333,-129.088020704,47.965671259,12,mound,,,93.9034,493429.697,5312488.487,-2152.47,110,343,110,511
118,334,-129.088488264,47.965701603,12,chimney,,,58.9563,493394.8,5312491.9,-2159.232,75,341,75,508
117,335,-129.087969704,47.965758259,17,mound,,,95.9394,493433.515,5312498.153,-2148.572,114,337,114,501
116,336,-129.08851182,47.965860966,9,chimney,,,54.0919,493393.062,5312509.614,-2158.866,73,329,74,490
115,337,-129.087729522,47.965889042,13,chimney,,,111.013,493451.46,5312512.668,-2164.254,132,327,132,487
114,338,-129.089194357,47.966389118,9,mound,High Rise,,6.4374,493342.182,5312568.375,-2175.062,22,290,23,431
110,342,-129.0886317,47.966844314,18,chimney,High Rise,,25.9721,493384.239,5312618.919,-2162.15,64,256,65,381
109,343,-129.0887097,47.966846314,7,chimney,High Rise,,20.1954,493378.417,5312619.148,-2164.542,59,255,59,380
108,344,-129.088348081,47.9669245,15,chimney,High Rise,,45.3425,493405.419,5312627.807,-2153.812,86,250,86,372
107,345,-129.088370255,47.966944244,18,chimney,High Rise,,43.3419,493403.767,5312630.003,-2154.845,84,248,84,369
106,346,-129.088253775,47.967020176,12,chimney,High Rise,,50.4936,493412.471,5312638.433,-2154.544,93,242,93,361
105,347,-129.088184252,47.967028375,7,chimney,High Rise,,55.456,493417.661,5312639.338,-2156.452,98,242,98,360
104,348,-129.088009437,47.967073707,5,chimney,High Rise,,67.4718,493430.716,5312644.362,-2152.64,111,238,111,355
103,349,-129.088114807,47.967081624,8,chimney,High Rise,,59.5707,493422.851,5312645.251,-2153.194,103,238,103,354
101,351,-129.088052733,47.967140044,4,chimney,High Rise,,63.0464,493427.492,5312651.739,-2153.096,108,233,108,348
100,352,-129.089330539,47.967170689,6,chimney,High Rise,,31.5476,493332.117,5312655.254,-2173.69,12,231,13,344
98,354,-129.088780538,47.967201688,6,chimney,High Rise,Knight,8.3423,493373.175,5312658.652,-2170.557,53,229,54,341
97,355,-129.086902574,47.96720521,4,chimney,High Rise,,146.4573,493513.352,5312658.884,-2181.622,194,229,194,341
96,356,-129.088960613,47.967511041,6,chimney,High Rise,,10.6883,493359.773,5312693.051,-2171.744,40,206,40,306
95,357,-129.088848222,47.967609935,5,chimney,High Rise,,4.4382,493368.175,5312704.033,-2171.883,48,198,49,295
94,358,-129.089294538,47.967621689,8,mound,High Rise,,37.3984,493334.862,5312705.378,-2164.945,15,197,15,294
93,359,-129.089370383,47.967644357,12,mound,High Rise,,43.4338,493329.204,5312707.904,-2160.358,9,196,10,292
92,360,-129.088797298,47.967683202,6,chimney,High Rise,,2.2452,493371.985,5312712.172,-2171.23,52,193,52,287
