waypoint_id,sequence_id,lon,lat,type,height_m,x_local_m,y_local_m,seafloor_depth_m,utm9n_easting,utm9n_northing,name
1,323,-129.088698196,47.965025347,chimney,18,60.043,21.755,-2160.594,493379.043,5312416.755,
2,325,-129.088736950,47.965215776,chimney,5,57.174,42.924,-2160.157,493376.174,5312437.924,
3,326,-129.088703674,47.965304272,chimney,7,59.670,52.757,-2158.042,493378.670,5312447.757,
4,327,-129.087959307,47.965326347,chimney,5,115.236,55.147,-2172.087,493434.236,5312450.147,
5,328,-129.088080246,47.965410284,chimney,19,106.219,64.486,-2158.051,493425.219,5312459.486,
6,329,-129.088522352,47.965427739,chimney,9,73.220,66.464,-2156.901,493392.220,5312461.464,
7,330,-129.088385246,47.965499270,chimney,12,83.464,74.403,-2153.195,493402.464,5312469.403,
8,331,-129.087852830,47.965517353,chimney,7,123.208,76.367,-2166.147,493442.208,5312471.367,
9,332,-129.088227790,47.965573097,chimney,19,95.226,82.595,-2149.088,493414.226,5312477.595,Fairy Castle
10,333,-129.088020704,47.965671259,mound,12,110.697,93.487,-2152.255,493429.697,5312488.487,
11,334,-129.088488264,47.965701603,chimney,12,75.800,96.900,-2158.761,493394.800,5312491.900,
12,335,-129.087969704,47.965758259,mound,17,114.515,103.153,-2151.090,493433.515,5312498.153,
13,336,-129.088511820,47.965860966,chimney,9,74.062,114.614,-2160.145,493393.062,5312509.614,
14,337,-129.087729522,47.965889042,chimney,13,132.460,117.668,-2164.143,493451.460,5312512.668,
15,338,-129.089194357,47.966389118,mound,9,23.182,173.375,-2176.263,493342.182,5312568.375,
16,342,-129.088631700,47.966844314,chimney,18,65.239,223.919,-2162.342,493384.239,5312618.919,
17,343,-129.088709700,47.966846314,chimney,7,59.417,224.148,-2164.699,493378.417,5312619.148,
18,344,-129.088348081,47.966924500,chimney,15,86.419,232.807,-2153.169,493405.419,5312627.807,
19,345,-129.088370255,47.966944244,chimney,18,84.767,235.003,-2155.948,493403.767,5312630.003,
20,346,-129.088253775,47.967020176,chimney,12,93.471,243.433,-2154.195,493412.471,5312638.433,
21,347,-129.088184252,47.967028375,chimney,7,98.661,244.338,-2154.976,493417.661,5312639.338,
22,348,-129.088009437,47.967073707,chimney,5,111.716,249.362,-2152.604,493430.716,5312644.362,
23,349,-129.088114807,47.967081624,chimney,8,103.851,250.251,-2153.343,493422.851,5312645.251,
24,351,-129.088052733,47.967140044,chimney,4,108.492,256.739,-2152.909,493427.492,5312651.739,
25,352,-129.089330539,47.967170689,chimney,6,13.117,260.254,-2173.620,493332.117,5312655.254,
26,354,-129.088780538,47.967201688,chimney,6,54.175,263.652,-2171.371,493373.175,5312658.652,Knight
27,355,-129.086902574,47.967205210,chimney,4,194.352,263.884,-2181.504,493513.352,5312658.884,
28,356,-129.088960613,47.967511041,chimney,6,40.773,298.051,-2172.166,493359.773,5312693.051,
29,357,-129.088848222,47.967609935,chimney,5,49.175,309.033,-2172.128,493368.175,5312704.033,
30,358,-129.089294538,47.967621689,mound,8,15.862,310.378,-2164.573,493334.862,5312705.378,
31,359,-129.089370383,47.967644357,mound,12,10.204,312.904,-2160.878,493329.204,5312707.904,
32,360,-129.088797298,47.967683202,chimney,6,52.985,317.172,-2171.020,493371.985,5312712.172,
33,361,-129.088470036,47.967689357,chimney,3,77.414,317.828,-2175.439,493396.414,5312712.828,
34,362,-129.088355721,47.967757949,chimney,5,85.955,325.442,-2175.473,493404.955,5312720.442,Blue Moon
35,363,-129.088420572,47.967790686,chimney,10,81.119,329.086,-2175.502,493400.119,5312724.086,
36,364,-129.087480989,47.967873220,chimney,13,151.261,338.179,-2151.279,493470.261,5312733.179,Baltic
37,365,-129.088280564,47.968039417,chimney,7,91.601,356.719,-2168.596,493410.601,5312751.719,
38,366,-129.088304189,47.968121826,chimney,5,89.848,365.880,-2172.095,493408.848,5312760.880,
39,367,-129.087932628,47.968166513,chimney,8,117.587,370.815,-2167.656,493436.587,5312765.815,
40,368,-129.087526257,47.968233948,chimney,20,147.928,378.276,-2147.895,493466.928,5312773.276,Park Place
41,369,-129.088252585,47.968257907,chimney,6,93.717,381.001,-2170.578,493412.717,5312776.001,
42,370,-129.087739981,47.968284144,chimney,10,131.982,383.873,-2161.921,493450.982,5312778.873,
43,371,-129.087334620,47.968371552,chimney,27,162.249,393.554,-2149.298,493481.249,5312788.554,Boardwalk
44,372,-129.087563166,47.968446867,chimney,14,145.200,401.944,-2151.999,493464.200,5312796.944,
45,373,-129.087628435,47.968589830,chimney,9,140.346,417.839,-2160.378,493459.346,5312812.839,
46,374,-129.087692493,47.968635232,chimney,10,135.571,422.891,-2165.897,493454.571,5312817.891,
47,375,-129.087569636,47.968638154,chimney,7,144.741,423.205,-2160.960,493463.741,5312818.205,
48,376,-129.087026002,47.968645734,chimney,19,185.319,424.002,-2149.560,493504.319,5312819.002,Godzilla
49,377,-129.087356631,47.968688953,chimney,9,160.646,428.833,-2154.956,493479.646,5312823.833,
50,378,-129.087073002,47.968710734,chimney,22,181.819,431.230,-2138.247,493500.819,5312826.230,
51,379,-129.087533734,47.968731394,chimney,13,147.433,433.565,-2160.145,493466.433,5312828.565,Three Sisters
52,380,-129.087984396,47.968754262,chimney,5,113.798,436.145,-2171.280,493432.798,5312831.145,
53,381,-129.087809007,47.968757114,chimney,5,126.889,436.447,-2170.182,493445.889,5312831.447,
54,382,-129.087679115,47.968967733,chimney,8,136.611,459.846,-2170.649,493455.611,5312854.846,
55,383,-129.086961353,47.969054173,chimney,11,190.196,469.392,-2154.522,493509.196,5312864.392,
56,384,-129.088272664,47.969203936,chimney,5,92.339,486.149,-2169.802,493411.339,5312881.149,
57,385,-129.088304888,47.969229514,chimney,5,89.937,488.995,-2169.758,493408.937,5312883.995,
58,386,-129.087181679,47.969336915,mound,5,173.786,500.836,-2169.459,493492.786,5312895.836,
59,387,-129.088067378,47.969903549,chimney,8,107.750,563.890,-2159.808,493426.750,5312958.890,
60,388,-129.088044378,47.969941549,chimney,8,109.471,568.112,-2164.031,493428.471,5312963.112,
61,389,-129.087867886,47.970058436,chimney,5,122.659,581.088,-2162.913,493441.659,5312976.088,
62,390,-129.087802713,47.970136764,chimney,6,127.534,589.788,-2164.009,493446.534,5312984.788,
63,391,-129.087840554,47.970189451,chimney,4,124.716,595.647,-2161.350,493443.716,5312990.647,
