orig_order,sequence_id,lon,lat,height_m,morphology,vent_field,chimney_name,dist_from_axis_m,utm9n_easting,utm9n_northing,seafloor_depth_m,col_wgs84,row_wgs84,col_utm1m,row_utm1m
126,326,-129.088703674,47.965304272,7,chimney,,,50.9438,493378.67,5312447.757,-2157.949,80,386,80,575
125,327,-129.087959307,47.965326347,5,chimney,,,105.1968,493434.236,5312450.147,-2172.038,136,384,136,572
124,328,-129.088080246,47.965410284,19,chimney,,,94.6611,493425.219,5312459.486,-2158.717,127,378,127,563
123,329,-129.088522352,47.965427739,9,chimney,,,61.8373,493392.22,5312461.464,-2157.065,94,376,94,561
122,330,-129.088385246,47.96549927,12,chimney,,,70.5035,493402.464,5312469.403,-2153.071,104,371,104,553
121,331,-129.08785283,47.965517353,7,chimney,,,109.2633,493442.208,5312471.367,-2166.29,144,370,144,551
120,332,-129.08822779,47.965573097,19,chimney,High Rise,Fairy Castle,80.6197,493414.226,5312477.595,-2150.976,116,365,116,545
119,333,-129.088020704,47.965671259,12,mound,,,93.9034,493429.697,5312488.487,-2152.47,131,358,131,534
118,334,-129.088488264,47.965701603,12,chimney,,,58.9563,493394.8,5312491.9,-2159.232,96,356,96,531
117,335,-129.087969704,47.965758259,17,mound,,,95.9394,493433.515,5312498.153,-2148.572,135,352,135,524
116,336,-129.08851182,47.965860966,9,chimney,,,54.0919,493393.062,5312509.614,-2158.866,94,344,95,513
115,337,-129.087729522,47.965889042,13,chimney,,,111.013,493451.46,5312512.668,-2164.254,153,342,153,510
114,338,-129.089194357,47.966389118,9,mound,High Rise,,6.4374,493342.182,5312568.375,-2175.062,43,305,44,454
110,342,-129.0886317,47.966844314,18,chimney,High Rise,,25.9721,493384.239,5312618.919,-2162.15,85,271,86,404
109,343,-129.0887097,47.966846314,7,chimney,High Rise,,20.1954,493378.417,5312619.148,-2164.542,80,270,80,403
108,344,-129.088348081,47.9669245,15,chimney,High Rise,,45.3425,493405.419,5312627.807,-2153.812,107,265,107,395
107,345,-129.088370255,47.966944244,18,chimney,High Rise,,43.3419,493403.767,5312630.003,-2154.845,105,263,105,392
106,346,-129.088253775,47.967020176,12,chimney,High Rise,,50.4936,493412.471,5312638.433,-2154.544,114,257,114,384
105,347,-129.088184252,47.967028375,7,chimney,High Rise,,55.456,493417.661,5312639.338,-2156.452,119,257,119,383
104,348,-129.088009437,47.967073707,5,chimney,High Rise,,67.4718,493430.716,5312644.362,-2152.64,132,253,132,378
103,349,-129.088114807,47.967081624,8,chimney,High Rise,,59.5707,493422.851,5312645.251,-2153.194,124,253,124,377
101,351,-129.088052733,47.967140044,4,chimney,High Rise,,63.0464,493427.492,5312651.739,-2153.096,129,248,129,371
100,352,-129.089330539,47.967170689,6,chimney,High Rise,,31.5476,493332.117,5312655.254,-2173.69,33,246,34,367
99,353,-129.089641539,47.967173689,13,chimney,,,54.4872,493308.904,5312655.615,-2174.083,10,246,10,367
98,354,-129.088780538,47.967201688,6,chimney,High Rise,Knight,8.3423,493373.175,5312658.652,-2170.557,74,244,75,364
96,356,-129.088960613,47.967511041,6,chimney,High Rise,,10.6883,493359.773,5312693.051,-2171.744,61,221,61,329
95,357,-129.088848222,47.967609935,5,chimney,High Rise,,4.4382,493368.175,5312704.033,-2171.883,69,213,70,318
94,358,-129.089294538,47.967621689,8,mound,High Rise,,37.3984,493334.862,5312705.378,-2164.945,36,212,36,317
93,359,-129.089370383,47.967644357,12,mound,High Rise,,43.4338,493329.204,5312707.904,-2160.358,30,211,31,315
92,360,-129.088797298,47.967683202,6,chimney,High Rise,,2.2452,493371.985,5312712.172,-2171.23,73,208,73,310
91,361,-129.088470036,47.967689357,3,chimney,High Rise,,21.6125,493396.414,5312712.828,-2175.678,98,207,98,310
90,362,-129.088355721,47.967757949,5,chimney,High Rise,Blue Moon,28.55,493404.955,5312720.442,-2175.847,106,202,106,302
89,363,-129.088420572,47.967790686,10,chimney,High Rise,,23.1087,493400.119,5312724.086,-2175.407,101,200,102,298
88,364,-129.087480989,47.96787322,13,chimney,High Rise,Baltic,90.2417,493470.261,5312733.179,-2151.363,171,194,172,289
87,365,-129.088280564,47.968039417,7,chimney,High Rise,,28.1439,493410.601,5312751.719,-2169.31,112,181,112,271
86,366,-129.088304189,47.968121826,5,chimney,High Rise,,24.6807,493408.848,5312760.88,-2172.25,110,175,110,262
85,367,-129.087932628,47.968166513,8,chimney,High Rise,,50.9735,493436.587,5312765.815,-2167.753,138,172,138,257
84,368,-129.087526257,47.968233948,20,chimney,High Rise,Park Place,79.0987,493466.928,5312773.276,-2146.575,168,167,168,249
83,369,-129.088252585,47.968257907,6,chimney,High Rise,,25.5066,493412.717,5312776.001,-2170.814,114,165,114,246
82,370,-129.087739981,47.968284144,10,chimney,High Rise,,62.3369,493450.982,5312778.873,-2161.902,152,163,152,244
81,371,-129.08733462,47.968371552,27,chimney,High Rise,Boardwalk,89.9289,493481.249,5312788.554,-2150.134,182,156,183,234
80,372,-129.087563166,47.968446867,14,chimney,High Rise,,71.5072,493464.2,5312796.944,-2148.751,165,151,166,226
79,373,-129.087628435,47.96858983,9,chimney,High Rise,,63.4534,493459.346,5312812.839,-2160.405,160,140,161,210
78,374,-129.087692493,47.968635232,10,chimney,High Rise,,57.7315,493454.571,5312817.891,-2165.86,156,137,156,205
77,375,-129.087569636,47.968638154,7,chimney,High Rise,,66.636,493463.741,5312818.205,-2160.648,165,137,165,204
75,377,-129.087356631,47.968688953,9,chimney,High Rise,,81.0228,493479.646,5312823.833,-2155.304,181,133,181,199
