orig_order,sequence_id,lon,lat,height_m,morphology,vent_field,chimney_name,dist_from_axis_m,utm9n_easting,utm9n_northing,seafloor_depth_m,col_wgs84,row_wgs84,col_utm1m,row_utm1m
460,499,-129.06758,47.993005,10,chimney,,,0.542,494958.155,5315524.969,-2151.493,555,422,556,631
459,500,-129.066132,47.993575,8,mound,,,66.2515,495066.238,5315588.229,-2147.354,663,380,664,567
555,501,-129.066463003,47.993821487,9,chimney,,,31.5942,495041.567,5315615.646,-2153.018,638,362,639,540
554,502,-129.066567819,47.993834995,8,chimney,,,23.9834,495033.749,5315617.154,-2150.909,631,361,631,538
458,503,-129.069582,47.993967,13,chimney,,,181.5149,494808.891,5315632.024,-2144.07,406,351,406,523
556,504,-129.066476009,47.994007159,8,chimney,,,21.0604,495040.614,5315636.283,-2155.354,638,348,638,519
455,507,-129.068456,47.994966,15,chimney,,,159.3794,494892.994,5315742.984,-2145.282,490,276,490,413
452,510,-129.068213,47.995136,11,chimney,,,152.9106,494911.139,5315761.862,-2148.445,508,263,509,394
444,518,-129.067886,47.995435,11,chimney,,,148.1951,494935.563,5315795.073,-2149.04,532,241,533,360
443,519,-129.067471,47.995483,4,chimney,,,123.9503,494966.528,5315800.381,-2152.902,563,237,564,355
442,520,-129.067092,47.995565,6,chimney,,,103.9113,494994.81,5315809.47,-2153.189,592,231,592,346
440,522,-129.066762,47.995875,7,mound,Sasquatch,,99.6082,495019.458,5315843.904,-2141.174,616,208,617,312
566,523,-129.068782523,47.995900417,3,chimney,,,231.9234,494868.727,5315846.862,-2159.441,465,206,466,309
563,524,-129.068741149,47.995994615,7,chimney,,,234.4319,494871.823,5315857.329,-2157.378,468,199,469,298
439,525,-129.068618,47.996017,7,mound,,,227.6859,494881.012,5315859.809,-2154.911,478,198,479,296
438,526,-129.066784,47.996021,12,mound,Sasquatch,,109.077,495017.831,5315860.133,-2135.05,615,197,615,295
564,527,-129.068645424,47.99608354,8,chimney,,,233.1285,494878.973,5315867.206,-2158.716,476,193,476,288
437,528,-129.0668,47.996123,14,mound,Sasquatch,,115.733,495016.647,5315871.471,-2138.522,613,190,614,284
565,529,-129.068533919,47.99619436,5,chimney,,,232.0088,494887.302,5315879.516,-2158.418,484,184,485,276
436,530,-129.065669,47.996432,5,chimney,Sasquatch,,56.7238,495101.05,5315905.742,-2161.129,698,167,699,250
435,531,-129.068366,47.996448,10,chimney,,,235.1018,494899.854,5315907.696,-2161.927,496,165,497,248
434,532,-129.065746,47.996537,8,chimney,Sasquatch,,66.855,495095.316,5315917.418,-2159.332,692,159,693,238
433,533,-129.066794,47.996953,8,chimney,Sasquatch,,157.2439,495017.175,5315963.721,-2144.698,614,128,615,192
432,534,-129.066769,47.997012,17,chimney,Sasquatch,,158.3192,495019.045,5315970.277,-2150.797,616,123,617,185
