waypoint_id,sequence_id,lon,lat,type,height_m,x_local_m,y_local_m,seafloor_depth_m,utm9n_easting,utm9n_northing,name
1,499,-129.067580000,47.993005000,chimney,10,175.155,74.969,-2150.837,494958.155,5315524.969,
2,500,-129.066132000,47.993575000,mound,8,283.238,138.229,-2147.749,495066.238,5315588.229,
3,501,-129.066463003,47.993821487,chimney,9,258.567,165.646,-2153.454,495041.567,5315615.646,
4,502,-129.066567819,47.993834995,chimney,8,250.749,167.154,-2150.318,495033.749,5315617.154,
5,503,-129.069582000,47.993967000,chimney,13,25.891,182.024,-2144.547,494808.891,5315632.024,
6,504,-129.066476009,47.994007159,chimney,8,257.614,186.283,-2155.610,495040.614,5315636.283,
7,505,-129.063188000,47.994701000,chimney,8,502.977,263.194,-2153.233,495285.977,5315713.194,
8,506,-129.064669000,47.994776000,chimney,4,392.496,271.622,-2153.713,495175.496,5315721.622,
9,507,-129.068456000,47.994966000,chimney,15,109.994,292.984,-2145.182,494892.994,5315742.984,
10,508,-129.065572000,47.995053000,chimney,7,325.156,302.466,-2153.057,495108.156,5315752.466,
11,509,-129.065290000,47.995073000,chimney,13,346.196,304.671,-2157.029,495129.196,5315754.671,
12,510,-129.068213000,47.995136000,chimney,11,128.139,311.862,-2147.981,494911.139,5315761.862,
13,511,-129.065538000,47.995146000,chimney,9,327.701,312.801,-2158.037,495110.701,5315762.801,
14,512,-129.065366000,47.995221000,chimney,12,340.540,321.126,-2157.762,495123.540,5315771.126,
15,513,-129.065151000,47.995307000,chimney,7,356.588,330.671,-2160.115,495139.588,5315780.671,
16,514,-129.064864000,47.995317000,chimney,5,377.999,331.764,-2156.113,495160.999,5315781.764,
17,515,-129.065532000,47.995367000,chimney,9,328.170,337.363,-2151.417,495111.170,5315787.363,
18,516,-129.065257000,47.995392000,chimney,11,348.688,340.125,-2162.506,495131.688,5315790.125,
19,517,-129.064598000,47.995433000,chimney,6,397.854,344.640,-2156.435,495180.854,5315794.640,
20,518,-129.067886000,47.995435000,chimney,11,152.563,345.073,-2149.358,494935.563,5315795.073,
21,519,-129.067471000,47.995483000,chimney,4,183.528,350.381,-2152.472,494966.528,5315800.381,
22,520,-129.067092000,47.995565000,chimney,6,211.810,359.470,-2153.357,494994.810,5315809.470,
23,521,-129.063530000,47.995651000,chimney,7,477.549,368.804,-2160.771,495260.549,5315818.804,
24,522,-129.066762000,47.995875000,mound,7,236.458,393.904,-2141.756,495019.458,5315843.904,
25,523,-129.068782523,47.995900417,chimney,3,85.727,396.862,-2159.411,494868.727,5315846.862,
26,524,-129.068741149,47.995994615,chimney,7,88.823,407.329,-2157.314,494871.823,5315857.329,
27,525,-129.068618000,47.996017000,mound,7,98.012,409.809,-2154.811,494881.012,5315859.809,
28,526,-129.066784000,47.996021000,mound,12,234.831,410.133,-2134.442,495017.831,5315860.133,
29,527,-129.068645424,47.996083540,chimney,8,95.973,417.206,-2159.125,494878.973,5315867.206,
30,528,-129.066800000,47.996123000,mound,14,233.647,421.471,-2139.960,495016.647,5315871.471,
31,529,-129.068533919,47.996194360,chimney,5,104.302,429.516,-2157.945,494887.302,5315879.516,
32,530,-129.065669000,47.996432000,chimney,5,318.050,455.742,-2161.254,495101.050,5315905.742,
33,531,-129.068366000,47.996448000,chimney,10,116.854,457.696,-2161.573,494899.854,5315907.696,
34,532,-129.065746000,47.996537000,chimney,8,312.316,467.418,-2159.429,495095.316,5315917.418,
35,533,-129.066794000,47.996953000,chimney,8,234.175,513.721,-2144.352,495017.175,5315963.721,
36,534,-129.066769000,47.997012000,chimney,17,236.045,520.277,-2150.553,495019.045,5315970.277,
37,535,-129.064897000,47.997158000,chimney,5,375.710,536.385,-2165.869,495158.710,5315986.385,
38,536,-129.064862000,47.997241000,chimney,7,378.329,545.608,-2168.649,495161.329,5315995.608,
39,537,-129.064833165,47.997305582,chimney,6,380.486,552.785,-2172.054,495163.486,5316002.785,
40,538,-129.063387418,47.997594905,chimney,12,488.364,584.852,-2162.836,495271.364,5316034.852,
41,539,-129.061746000,47.997975000,chimney,4,610.846,626.999,-2153.093,495393.846,5316076.999,
42,540,-129.062045000,47.998224000,chimney,5,588.563,654.692,-2170.402,495371.563,5316104.692,
43,541,-129.061237000,47.998241000,chimney,4,648.840,656.533,-2153.963,495431.840,5316106.533,
44,542,-129.062321000,47.998244000,chimney,12,567.976,656.931,-2173.431,495350.976,5316106.931,
45,543,-129.061014000,47.998386000,mound,3,665.488,672.636,-2162.446,495448.488,5316122.636,
46,544,-129.062279000,47.998618000,chimney,5,571.143,698.497,-2178.454,495354.143,5316148.497,
